attraction_id,city_id,city_nm,attraction_nm,address,theme,rate,longitude,latitude
A201,C01,서울,청량리수산시장,서울 동대문구 고산자로34길 48-1,Shopping,4.691,127.0411412,37.5780887
A202,C01,서울,잠원쇼핑센터,서울 서초구 신반포로23길 41-0,Shopping,4.69,127.0044694,37.51165835
A203,C01,서울,다이소가좌역점,서울 서대문구 수색로 26-0,Shopping,4.688,126.9157534,37.5691638
A204,C01,서울,다이소방학역점,서울 도봉구 도봉로 696-0,Shopping,4.687,127.0434219,37.66663602
A205,C01,서울,논현동가구거리,서울 강남구,Shopping,4.685,127.0473774,37.51733193
A206,C01,서울,현대백화점면세점동대문점,서울 중구 장충단로 275-0,Shopping,4.683,127.0087751,37.56888494
A207,C01,서울,범서쇼핑센터,서울 은평구 통일로 842-0,Shopping,4.682,126.9220638,37.61869023
A208,C01,서울,까치산시장,서울 강서구 강서로12길 14-0,Shopping,4.68,126.8478603,37.53153099
A209,C01,서울,다이소성수2가점,서울 성동구 성덕정길 106-0,Shopping,4.679,127.0551048,37.53715944
A210,C01,서울,한아름쇼핑센터,서울 광진구 능동로13길 39-0,Shopping,4.677,127.0697577,37.54395902
A211,C01,서울,다이소홍대2호점,서울 마포구 양화로 182-0,Shopping,4.676,126.9255878,37.557761
A212,C01,서울,중앙청과,서울 송파구 양재대로 932-0,Shopping,4.674,127.1087136,37.49453769
A213,C01,서울,다이소여의도점,서울 영등포구 여의나루로 61-0,Shopping,4.673,126.9260155,37.52322442
A214,C01,서울,수유중앙시장,서울 강북구 노해로17길 21-0,Shopping,4.671,127.0211763,37.64033675
A215,C01,서울,명일전통시장,서울 강동구 양재대로138길 20-0,Shopping,4.67,127.1449535,37.54953208
A216,C01,서울,길음시장,서울 성북구 동소문로 227-0,Shopping,4.668,127.021592,37.60278063
A217,C01,서울,현대백화점면세점무역센터점,서울 강남구 테헤란로 517-0,Shopping,4.666,127.0597651,37.50861513
A218,C01,서울,삼익쇼핑센터,서울 도봉구 덕릉로57길 30-0,Shopping,4.666,127.0372271,37.64003383
A219,C01,서울,진양프라자,서울 중구 퇴계로 217-0,Shopping,4.664,126.9959312,37.56242271
A220,C01,서울,다이소길동점,서울 강동구 양재대로 1490-0,Shopping,4.662,127.14065,37.53881783
A221,C01,서울,패션과문화의거리,서울 관악구,Shopping,4.661,126.9515619,37.47836838
A222,C01,서울,라붐아울렛,서울 관악구 남부순환로 1820-0,Shopping,4.659,126.9520838,37.480948
A223,C01,서울,스튜디오W,서울 중구 마장로1길 22-0,Shopping,4.657,127.0126877,37.5688945
A224,C01,서울,다이소압구정역점,서울 강남구 논현로 878-0,Shopping,4.656,127.0289521,37.52709141
A225,C01,서울,장위전통시장,서울 성북구 화랑로19가길 20-22,Shopping,4.654,127.0512444,37.61032024
A226,C01,서울,동대문쇼핑타운,서울 종로구 종로 266-0,Shopping,4.653,127.0073287,37.57070649
A227,C01,서울,비단길현대시장,서울 금천구 독산로41길 7-0,Shopping,4.651,126.9043423,37.45983805
A228,C01,서울,카멜리아,서울 금천구 금하로 705-0,Shopping,4.65,126.9083613,37.45157084
A229,C01,서울,대림프라자,서울 동작구 사당로17길 8-0,Shopping,4.648,126.9743434,37.48409377
A230,C01,서울,밤나무골시장,서울 성북구,Shopping,4.647,127.0167029,37.58935882
A231,C01,서울,인헌시장,서울 관악구 인헌6길 16-0,Shopping,4.645,126.9660073,37.47409857
A232,C01,서울,수유프라자,서울 강북구 도봉로 261-0,Shopping,4.644,127.0234675,37.63169253
A233,C01,서울,다이소선릉점,서울 강남구 테헤란로 414-0,Shopping,4.642,127.0516273,37.50491277
A234,C01,서울,도곡시장,서울 강남구 선릉로 317-0,Shopping,4.641,127.0517956,37.49784224
A235,C01,서울,동북프라자,서울 강북구 솔샘로 233-0,Shopping,4.639,127.0190955,37.62042225
A236,C01,서울,쌍용프라자,서울 송파구 동남로 189-0,Shopping,4.638,127.1298537,37.49466141
A237,C01,서울,그랜드프라자,서울 노원구 한글비석로 264-0,Shopping,4.636,127.0773379,37.65115871
A238,C01,서울,대조시장,서울 은평구 진흥로 153-0,Shopping,4.635,126.9264355,37.60911184
A239,C01,서울,다이소응암본점,서울 은평구 은평로 127-0,Shopping,4.633,126.9219657,37.60062993
A240,C01,서울,동대문종합시장B동,서울 종로구 종로 266-0,Shopping,4.631,127.0073287,37.57070649
A241,C01,서울,메트로백화점,서울 은평구 통일로 856-0,Shopping,4.63,126.9215229,37.61962267
A242,C01,서울,석관시장,서울 성북구 돌곶이로22가길 27-0,Shopping,4.628,127.0602954,37.6089425
A243,C01,서울,강남개포시장,서울 강남구 개포로 512-0,Shopping,4.627,127.0688421,37.48930721
A244,C01,서울,연신내,서울 은평구,Shopping,4.625,126.928941,37.60281744
A245,C01,서울,사모아쇼핑,서울 구로구 구일로10길 93-0,Shopping,4.624,126.8769385,37.49586972
A246,C01,서울,신반포상가,서울 서초구 신반포로15길 29-0,Shopping,4.622,126.9946958,37.50547058
A247,C01,서울,다이소가양역2호점,서울 강서구 화곡로 418-0,Shopping,4.621,126.8552177,37.56035479
A248,C01,서울,종로꽃시장,서울 종로구,Shopping,4.619,126.97899,37.57350424
A249,C01,서울,증산종합시장,서울 은평구 증산로3길 12-0,Shopping,4.619,126.9050616,37.58146885
A250,C01,서울,다이소장안사거리점,서울 동대문구 장한로25길 2-0,Shopping,4.616,127.0711221,37.57187659
A251,C01,서울,프리마,서울 송파구 올림픽로4길 48-0,Shopping,4.615,127.074256,37.50656181
A252,C01,서울,다이소가락시장역점,서울 송파구 중대로 109-0,Shopping,4.613,127.1204792,37.49384242
A253,C01,서울,구의시장,서울 광진구 광나루로37길 10-15,Shopping,4.612,127.0881861,37.54555642
A254,C01,서울,다이소아차산역2호점,서울 광진구 천호대로 661-0,Shopping,4.61,127.0901094,37.55201486
A255,C01,서울,신사쇼핑센터,서울 서초구 나루터로 37-0,Shopping,4.609,127.0141936,37.51544279
A256,C01,서울,영등포윤활유,서울 영등포구 버드나루로 35-0,Shopping,4.607,126.9115119,37.52177888
A257,C01,서울,마장동먹자골목,서울 성동구 마장로35길 68-0,Shopping,4.606,127.0412753,37.57068248
A258,C01,서울,강동수산,서울 송파구 양재대로 932-0,Shopping,4.604,127.1087136,37.49453769
